# DEMONSTRATION / SYNTHETIC DATA
# RESEARCH AND EDUCATION ONLY - NOT FOR CLINICAL USE. Outputs are generated from SYNTHETIC data and do not describe real patients.
gene_id,is_signal,direction,true_shift
SYN_G0228,False,none,0.000
SYN_G0229,True,up,1.868
SYN_G0230,False,none,0.000
SYN_G0231,False,none,0.000
SYN_G0232,False,none,0.000
SYN_G0233,False,none,0.000
SYN_G0234,False,none,0.000
SYN_G0235,True,up,1.798
SYN_G0236,False,none,0.000
SYN_G0237,False,none,0.000
SYN_G0238,False,none,0.000
SYN_G0239,False,none,0.000
SYN_G0240,False,none,0.000
SYN_G0241,False,none,0.000
SYN_G0242,False,none,0.000
SYN_G0243,False,none,0.000
SYN_G0244,False,none,0.000
SYN_G0245,False,none,0.000
SYN_G0246,False,none,0.000
SYN_G0247,True,up,1.176
SYN_G0248,False,none,0.000
SYN_G0249,False,none,0.000
SYN_G0250,False,none,0.000
SYN_G0251,False,none,0.000
SYN_G0252,False,none,0.000
SYN_G0253,False,none,0.000
SYN_G0254,False,none,0.000
SYN_G0255,False,none,0.000
SYN_G0256,False,none,0.000
SYN_G0257,False,none,0.000
SYN_G0258,False,none,0.000
SYN_G0259,False,none,0.000
SYN_G0260,False,none,0.000
SYN_G0261,False,none,0.000
SYN_G0262,False,none,0.000
SYN_G0263,True,up,1.626
SYN_G0264,False,none,0.000
SYN_G0265,False,none,0.000
SYN_G0266,False,none,0.000
SYN_G0267,False,none,0.000
SYN_G0268,False,none,0.000
SYN_G0269,False,none,0.000
SYN_G0270,False,none,0.000
SYN_G0271,False,none,0.000
SYN_G0272,False,none,0.000
SYN_G0273,False,none,0.000
SYN_G0274,False,none,0.000
SYN_G0275,False,none,0.000
SYN_G0276,False,none,0.000
SYN_G0277,True,down,-1.066
SYN_G0278,False,none,0.000
SYN_G0279,False,none,0.000
SYN_G0280,False,none,0.000
SYN_G0281,False,none,0.000
SYN_G0282,False,none,0.000
SYN_G0283,False,none,0.000
SYN_G0284,False,none,0.000
SYN_G0285,False,none,0.000
SYN_G0286,False,none,0.000
SYN_G0287,False,none,0.000
SYN_G0288,False,none,0.000
SYN_G0289,False,none,0.000
SYN_G0290,False,none,0.000
SYN_G0291,False,none,0.000
SYN_G0292,False,none,0.000
SYN_G0293,False,none,0.000
SYN_G0294,True,up,1.611
SYN_G0295,False,none,0.000
SYN_G0296,False,none,0.000
SYN_G0297,False,none,0.000
SYN_G0298,False,none,0.000
SYN_G0299,False,none,0.000
SYN_G0300,False,none,0.000
SYN_G0301,False,none,0.000
SYN_G0302,False,none,0.000
SYN_G0303,False,none,0.000
SYN_G0304,True,down,-1.300
SYN_G0305,False,none,0.000
SYN_G0306,False,none,0.000
SYN_G0307,False,none,0.000
SYN_G0308,False,none,0.000
SYN_G0309,False,none,0.000
SYN_G0310,False,none,0.000
SYN_G0311,False,none,0.000
SYN_G0312,False,none,0.000
SYN_G0313,False,none,0.000
SYN_G0314,False,none,0.000
SYN_G0315,False,none,0.000
SYN_G0316,False,none,0.000
SYN_G0317,False,none,0.000
SYN_G0318,False,none,0.000
SYN_G0319,False,none,0.000
SYN_G0320,False,none,0.000
SYN_G0321,False,none,0.000
SYN_G0322,False,none,0.000
SYN_G0323,True,down,-1.642
SYN_G0324,False,none,0.000
SYN_G0325,False,none,0.000
SYN_G0326,False,none,0.000
SYN_G0327,False,none,0.000
SYN_G0328,False,none,0.000
SYN_G0329,False,none,0.000
SYN_G0330,False,none,0.000
SYN_G0331,False,none,0.000
SYN_G0332,True,up,1.405
SYN_G0333,False,none,0.000
SYN_G0334,False,none,0.000
SYN_G0335,False,none,0.000
SYN_G0336,False,none,0.000
SYN_G0337,False,none,0.000
SYN_G0338,False,none,0.000
SYN_G0339,False,none,0.000
SYN_G0340,False,none,0.000
SYN_G0341,False,none,0.000
SYN_G0342,False,none,0.000
SYN_G0343,False,none,0.000
SYN_G0344,False,none,0.000
SYN_G0345,False,none,0.000
SYN_G0346,False,none,0.000
SYN_G0347,False,none,0.000
SYN_G0348,False,none,0.000
SYN_G0349,False,none,0.000
SYN_G0350,False,none,0.000
SYN_G0351,False,none,0.000
SYN_G0352,False,none,0.000
SYN_G0353,True,up,1.325
SYN_G0354,False,none,0.000
SYN_G0355,False,none,0.000
SYN_G0356,False,none,0.000
SYN_G0357,True,down,-1.325
SYN_G0358,False,none,0.000
SYN_G0359,False,none,0.000
SYN_G0360,False,none,0.000
SYN_G0361,False,none,0.000
SYN_G0362,False,none,0.000
SYN_G0363,False,none,0.000
SYN_G0364,False,none,0.000
SYN_G0365,False,none,0.000
SYN_G0366,False,none,0.000
SYN_G0367,True,down,-0.912
SYN_G0368,False,none,0.000
SYN_G0369,False,none,0.000
SYN_G0370,False,none,0.000
SYN_G0371,False,none,0.000
SYN_G0372,False,none,0.000
SYN_G0373,False,none,0.000
SYN_G0374,False,none,0.000
SYN_G0375,False,none,0.000
SYN_G0376,False,none,0.000
SYN_G0377,False,none,0.000
SYN_G0378,False,none,0.000
SYN_G0379,False,none,0.000
SYN_G0380,False,none,0.000
SYN_G0381,False,none,0.000
SYN_G0382,False,none,0.000
SYN_G0383,False,none,0.000
SYN_G0384,False,none,0.000
SYN_G0385,False,none,0.000
SYN_G0386,False,none,0.000
SYN_G0387,False,none,0.000
SYN_G0388,False,none,0.000
SYN_G0389,False,none,0.000
SYN_G0390,False,none,0.000
SYN_G0391,False,none,0.000
SYN_G0392,False,none,0.000
SYN_G0393,False,none,0.000
SYN_G0394,False,none,0.000
SYN_G0395,False,none,0.000
SYN_G0396,False,none,0.000
SYN_G0397,False,none,0.000
SYN_G0398,False,none,0.000
SYN_G0399,True,up,1.454
SYN_G0400,False,none,0.000
SYN_G0401,False,none,0.000
SYN_G0402,False,none,0.000
SYN_G0403,False,none,0.000
SYN_G0404,False,none,0.000
SYN_G0405,False,none,0.000
SYN_G0406,False,none,0.000
SYN_G0407,False,none,0.000
SYN_G0408,False,none,0.000
SYN_G0409,False,none,0.000
SYN_G0410,False,none,0.000
SYN_G0411,False,none,0.000
SYN_G0412,False,none,0.000
SYN_G0413,True,down,-1.045
SYN_G0414,False,none,0.000
SYN_G0415,False,none,0.000
SYN_G0416,True,down,-0.906
SYN_G0417,False,none,0.000
SYN_G0418,True,down,-1.439
SYN_G0419,False,none,0.000
SYN_G0420,False,none,0.000
SYN_G0421,False,none,0.000
SYN_G0422,False,none,0.000
SYN_G0423,False,none,0.000
SYN_G0424,False,none,0.000
SYN_G0425,False,none,0.000
SYN_G0426,False,none,0.000
SYN_G0427,False,none,0.000
SYN_G0428,False,none,0.000
SYN_G0429,False,none,0.000
SYN_G0430,False,none,0.000
SYN_G0431,False,none,0.000
SYN_G0432,False,none,0.000
SYN_G0433,False,none,0.000
SYN_G0434,False,none,0.000
SYN_G0435,False,none,0.000
SYN_G0436,False,none,0.000
SYN_G0437,False,none,0.000
SYN_G0438,True,down,-1.552
SYN_G0439,False,none,0.000
SYN_G0440,False,none,0.000
SYN_G0441,False,none,0.000
SYN_G0442,True,up,1.545
SYN_G0443,False,none,0.000
SYN_G0444,False,none,0.000
SYN_G0445,False,none,0.000
SYN_G0446,True,down,-1.985
SYN_G0447,True,up,1.033
SYN_G0448,False,none,0.000
SYN_G0449,False,none,0.000
SYN_G0450,False,none,0.000
SYN_G0451,False,none,0.000
SYN_G0452,False,none,0.000
SYN_G0453,False,none,0.000
SYN_G0454,True,up,1.983
SYN_G0455,False,none,0.000
SYN_G0456,True,down,-1.280
SYN_G0457,False,none,0.000
SYN_G0458,False,none,0.000
SYN_G0459,False,none,0.000
SYN_G0460,True,up,1.011
SYN_G0461,False,none,0.000
SYN_G0462,False,none,0.000
SYN_G0463,False,none,0.000
SYN_G0464,False,none,0.000
SYN_G0465,False,none,0.000
SYN_G0466,False,none,0.000
SYN_G0467,False,none,0.000
SYN_G0468,False,none,0.000
SYN_G0469,False,none,0.000
SYN_G0470,False,none,0.000
SYN_G0471,False,none,0.000
SYN_G0472,False,none,0.000
SYN_G0473,False,none,0.000
SYN_G0474,False,none,0.000
SYN_G0475,False,none,0.000
SYN_G0476,False,none,0.000
SYN_G0477,False,none,0.000
SYN_G0478,False,none,0.000
SYN_G0479,False,none,0.000
SYN_G0480,False,none,0.000
SYN_G0481,False,none,0.000
SYN_G0482,False,none,0.000
SYN_G0483,False,none,0.000
SYN_G0484,False,none,0.000
SYN_G0485,False,none,0.000
SYN_G0486,False,none,0.000
SYN_G0487,False,none,0.000
SYN_G0488,False,none,0.000
SYN_G0489,False,none,0.000
SYN_G0490,False,none,0.000
SYN_G0491,False,none,0.000
SYN_G0492,False,none,0.000
SYN_G0493,False,none,0.000
SYN_G0494,True,down,-0.857
SYN_G0495,False,none,0.000
SYN_G0496,False,none,0.000
SYN_G0497,False,none,0.000
SYN_G0498,False,none,0.000
SYN_G0499,False,none,0.000
SYN_G0500,False,none,0.000
